date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2006-03-01,VNM,Vietnam,68212124936.243866,65.22186508183206,16012.729166666666,46552482111.18707,49896207452.29107,-3343725341.1039963,11.176874999999999,62.68521739130435
2006-04-01,VNM,Vietnam,69132354995.844,65.66917788395975,16021.96875,47356334652.15816,51416172941.2576,-4059838289.0994415,11.177187499999999,69.44368421052631
2006-05-01,VNM,Vietnam,70052585055.44414,66.11649068608743,16031.208333333334,48160187193.129234,52936138430.22414,-4775951237.094902,11.1775,70.84409090909091
2006-06-01,VNM,Vietnam,70972815115.04427,66.56380348821511,16040.447916666666,48964039734.10032,54456103919.19067,-5492064185.090347,11.1778125,70.9509090909091
2006-07-01,VNM,Vietnam,71893045174.6444,67.0111162903428,16049.6875,49767892275.0714,55976069408.157196,-6208177133.085793,11.178125,74.41105263157894
2006-08-01,VNM,Vietnam,72813275234.24454,67.45842909247048,16058.927083333334,50571744816.04249,57496034897.12373,-6924290081.081245,11.1784375,73.04304347826087
2006-09-01,VNM,Vietnam,73733505293.84467,67.90574189459817,16068.166666666666,51375597357.01357,59016000386.09026,-7640403029.076691,11.178749999999999,63.798
2006-10-01,VNM,Vietnam,74653735353.4448,68.35305469672585,16077.40625,52179449897.98465,60535965875.0568,-8356515977.072151,11.1790625,58.89318181818182
2006-11-01,VNM,Vietnam,75573965413.04492,68.80036749885353,16086.645833333334,52983302438.955734,62055931364.02333,-9072628925.067596,11.179375,59.0825
2006-12-01,VNM,Vietnam,76494195472.64507,69.24768030098122,16095.885416666666,53787154979.92682,63575896852.98987,-9788741873.06305,11.1796875,61.959
2007-01-01,VNM,Vietnam,77414425532.2452,69.6949931031089,16105.125,54591007520.8979,65095862341.9564,-10504854821.058495,11.18,54.50619047619048
2007-02-01,VNM,Vietnam,79224082079.48538,71.0375189474011,16121.552083333334,55852171611.96121,66608741331.74738,-10756569719.786171,11.563630952380949,59.27894736842105
2007-03-01,VNM,Vietnam,81033738626.72556,72.3800447916933,16137.979166666666,57113335703.02452,68121620321.53836,-11008284618.51384,11.9472619047619,60.441818181818185
